COUNTY,TOTAL_CALLS,AVG_ANNUAL_CALLS,POPULATION,CALL_RATE_PER_100K
Alameda County,56162,5616,1649913,340
Alpine County,70,7,1115,628
Amador County,1363,136,40139,339
Butte County,11890,1189,214474,554
Calaveras County,2400,240,45933,523
Colusa County,979,98,21713,451
Contra Costa County,31206,3121,1156590,270
Del Norte County,10711,1071,27399,3909
El Dorado County,9088,909,191845,474
Fresno County,87308,8731,1003730,870
Glenn County,1526,153,28247,542
Humboldt County,7206,721,135508,532
Imperial County,5533,553,180160,307
Inyo County,1604,160,18291,875
Kern County,69253,6925,902511,767
Kings County,6262,626,152726,410
Lake County,5226,523,66114,791
Lassen County,1817,182,30705,593
Los Angeles County,385876,38588,10004118,386
Madera County,6546,655,156576,418
Marin County,5457,546,259615,210
Mariposa County,1250,125,17135,730
Mendocino County,3928,393,88433,444
Merced County,16165,1616,280039,577
Modoc County,594,59,8747,675
Mono County,819,82,13669,600
Monterey County,17037,1704,434720,392
Napa County,4480,448,137572,326
Nevada County,2396,240,100867,238
Orange County,95378,9538,3167356,301
Placer County,8062,806,402435,200
Plumas County,928,93,18943,491
Riverside County,70524,7052,2449223,288
Sacramento County,58291,5829,1569194,371
San Benito County,2172,217,63668,341
San Bernardino County,88037,8804,2180403,404
San Diego County,172842,17284,3299991,524
San Francisco County,32813,3281,867290,378
San Joaquin County,44640,4464,771124,579
San Luis Obispo County,6795,680,281966,241
San Mateo County,20687,2069,763769,271
Santa Barbara County,16435,1644,444749,370
Santa Clara County,61737,6174,1923607,321
Santa Cruz County,8896,890,272319,327
Shasta County,5671,567,180161,315
Sierra County,109,11,3061,359
Siskiyou County,2307,231,43636,529
Solano County,20366,2037,448579,454
Sonoma County,18998,1900,490410,387
Stanislaus County,30976,3098,551086,562
Sutter County,4358,436,97684,446
Tehama County,4247,425,64705,657
Trinity County,466,47,14368,327
Tulare County,26110,2611,469848,556
Tuolumne County,3043,304,54038,563
Ventura County,62247,6225,844006,738
Yolo County,8694,869,219245,396
Yuba County,5322,532,80275,663
