COUNTY,POPULATION
California,39268239
Alameda County,1649913
Alpine County,1115
Amador County,40139
Butte County,214474
Calaveras County,45933
Colusa County,21713
Contra Costa County,1156590
Del Norte County,27399
El Dorado County,191845
Fresno County,1003730
Glenn County,28247
Humboldt County,135508
Imperial County,180160
Inyo County,18291
Kern County,902511
Kings County,152726
Lake County,66114
Lassen County,30705
Los Angeles County,10004118
Madera County,156576
Marin County,259615
Mariposa County,17135
Mendocino County,88433
Merced County,280039
Modoc County,8747
Mono County,13669
Monterey County,434720
Napa County,137572
Nevada County,100867
Orange County,3167356
Placer County,402435
Plumas County,18943
Riverside County,2449223
Sacramento County,1569194
San Benito County,63668
San Bernardino County,2180403
San Diego County,3299991
San Francisco County,867290
San Joaquin County,771124
San Luis Obispo County,281966
San Mateo County,763769
Santa Barbara County,444749
Santa Clara County,1923607
Santa Cruz County,272319
Shasta County,180161
Sierra County,3061
Siskiyou County,43636
Solano County,448579
Sonoma County,490410
Stanislaus County,551086
Sutter County,97684
Tehama County,64705
Trinity County,14368
Tulare County,469848
Tuolumne County,54038
Ventura County,844006
Yolo County,219245
Yuba County,80275
